frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,frame.len,label
1.246209,10.0.0.3,10.0.0.1,40452,80,0x0002,54,1
13.897784,10.0.0.1,10.0.0.2,80,34004,0x0018,223,0
4.268082,10.0.0.3,10.0.0.1,56225,80,0x0002,54,1
1.459112,10.0.0.2,10.0.0.1,38418,80,0x0010,66,0
2.672152,10.0.0.1,10.0.0.3,80,13934,0x0014,54,1
0.429488,10.0.0.3,10.0.0.1,14383,80,0x0002,54,1
9.883533,10.0.0.2,10.0.0.1,32962,80,0x0011,66,0
10.771615,10.0.0.1,10.0.0.2,80,33170,0x0011,66,0
2.316219,10.0.0.2,10.0.0.1,38656,80,0x0010,66,0
13.572543,10.0.0.1,10.0.0.2,80,33884,0x0010,66,0
4.992478,10.0.0.3,10.0.0.1,12236,80,0x0002,54,1
2.894874,10.0.0.1,10.0.0.3,80,19730,0x0014,54,1
4.005296,10.0.0.1,10.0.0.3,80,50507,0x0014,54,1
10.197737,10.0.0.2,10.0.0.1,33024,80,0x0010,66,0
2.001695,10.0.0.3,10.0.0.1,63244,80,0x0002,54,1
5.324554,10.0.0.3,10.0.0.1,24448,80,0x0002,54,1
0.852021,10.0.0.1,10.0.0.3,80,27169,0x0014,54,1
13.958587,10.0.0.1,10.0.0.2,80,34028,0x0012,74,0
4.176779,10.0.0.3,10.0.0.1,53911,80,0x0002,54,1
2.939905,10.0.0.1,10.0.0.2,80,38842,0x0010,66,0
5.121283,10.0.0.1,10.0.0.3,80,16892,0x0014,54,1
3.524642,10.0.0.3,10.0.0.1,34771,80,0x0002,54,1
2.267936,10.0.0.2,10.0.0.1,38632,80,0x0010,66,0
2.269388,10.0.0.1,10.0.0.2,80,38632,0x0011,66,0
1.96425,10.0.0.1,10.0.0.2,80,38540,0x0010,66,0
2.046744,10.0.0.3,10.0.0.1,64253,80,0x0002,54,1
14.547575,10.0.0.1,10.0.0.2,80,34162,0x0012,74,0
1.447371,10.0.0.3,10.0.0.1,48101,80,0x0002,54,1
11.854109,10.0.0.1,10.0.0.2,80,33438,0x0018,1640,0
1.676333,10.0.0.3,10.0.0.1,53827,80,0x0002,54,1
15.738225,10.0.0.1,10.0.0.2,80,51678,0x0010,66,0
5.196259,10.0.0.1,10.0.0.3,80,19435,0x0014,54,1
12.025057,10.0.0.2,10.0.0.1,33504,80,0x0018,138,0
0.943327,10.0.0.3,10.0.0.1,30334,80,0x0002,54,1
10.559579,10.0.0.2,10.0.0.1,33114,80,0x0018,138,0
7.462929,10.0.0.1,10.0.0.2,80,60608,0x0018,223,0
0.634249,10.0.0.3,10.0.0.1,19188,80,0x0002,54,1
12.001247,10.0.0.1,10.0.0.2,80,33490,0x0018,223,0
13.857025,10.0.0.2,10.0.0.1,33990,80,0x0002,74,0
16.728369,10.0.0.2,10.0.0.1,51922,80,0x0010,66,0
0.65732,10.0.0.1,10.0.0.3,80,20078,0x0014,54,1
11.296949,10.0.0.2,10.0.0.1,33300,80,0x0010,66,0
8.95156,10.0.0.1,10.0.0.2,80,32772,0x0019,192,0
12.144628,10.0.0.2,10.0.0.1,33530,80,0x0010,66,0
3.875366,10.0.0.1,10.0.0.3,80,47285,0x0014,54,1
0.551387,10.0.0.1,10.0.0.3,80,17234,0x0014,54,1
2.562695,10.0.0.1,10.0.0.2,80,38734,0x0018,223,0
5.528617,10.0.0.2,10.0.0.1,60114,80,0x0010,66,0
3.469788,10.0.0.1,10.0.0.3,80,33627,0x0014,54,1
4.612176,10.0.0.1,10.0.0.3,80,64756,0x0014,54,1
0.961482,10.0.0.3,10.0.0.1,30952,80,0x0002,54,1
