frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,frame.len
14.454445000,10.0.0.1,10.0.0.2,80,34138,0x0018,223
14.454510000,10.0.0.1,10.0.0.2,80,34138,0x0010,1514
14.454556000,10.0.0.1,10.0.0.2,80,34138,0x0019,192
14.454718000,10.0.0.2,10.0.0.1,34138,80,0x0010,66
14.455007000,10.0.0.2,10.0.0.1,34138,80,0x0011,66
14.455025000,10.0.0.1,10.0.0.2,80,34138,0x0010,66
14.478691000,10.0.0.2,10.0.0.1,34142,80,0x0002,74
14.478733000,10.0.0.1,10.0.0.2,80,34142,0x0012,74
14.478770000,10.0.0.2,10.0.0.1,34142,80,0x0010,66
14.485715000,10.0.0.2,10.0.0.1,34142,80,0x0018,138
14.485831000,10.0.0.1,10.0.0.2,80,34142,0x0010,66
14.489555000,10.0.0.1,10.0.0.2,80,34142,0x0018,223
14.489617000,10.0.0.2,10.0.0.1,34142,80,0x0010,66
14.489657000,10.0.0.1,10.0.0.2,80,34142,0x0018,1640
14.489669000,10.0.0.2,10.0.0.1,34142,80,0x0010,66
14.489719000,10.0.0.1,10.0.0.2,80,34142,0x0011,66
14.490585000,10.0.0.2,10.0.0.1,34142,80,0x0011,66
14.490611000,10.0.0.1,10.0.0.2,80,34142,0x0010,66
14.512826000,10.0.0.2,10.0.0.1,34154,80,0x0002,74
14.512874000,10.0.0.1,10.0.0.2,80,34154,0x0012,74
14.512912000,10.0.0.2,10.0.0.1,34154,80,0x0010,66
14.519672000,10.0.0.2,10.0.0.1,34154,80,0x0018,138
14.519694000,10.0.0.1,10.0.0.2,80,34154,0x0010,66
14.522644000,10.0.0.1,10.0.0.2,80,34154,0x0018,223
14.522710000,10.0.0.2,10.0.0.1,34154,80,0x0010,66
14.522750000,10.0.0.1,10.0.0.2,80,34154,0x0018,1640
14.522762000,10.0.0.2,10.0.0.1,34154,80,0x0010,66
14.523546000,10.0.0.1,10.0.0.2,80,34154,0x0011,66
14.523578000,10.0.0.2,10.0.0.1,34154,80,0x0011,66
14.523590000,10.0.0.1,10.0.0.2,80,34154,0x0010,66
14.523604000,10.0.0.2,10.0.0.1,34154,80,0x0010,66
14.547547000,10.0.0.2,10.0.0.1,34162,80,0x0002,74
14.547575000,10.0.0.1,10.0.0.2,80,34162,0x0012,74
14.547605000,10.0.0.2,10.0.0.1,34162,80,0x0010,66
14.551399000,10.0.0.2,10.0.0.1,34162,80,0x0018,138
14.551428000,10.0.0.1,10.0.0.2,80,34162,0x0010,66
14.555903000,10.0.0.1,10.0.0.2,80,34162,0x0018,223
14.555960000,10.0.0.2,10.0.0.1,34162,80,0x0010,66
14.556073000,10.0.0.1,10.0.0.2,80,34162,0x0018,1640
14.556089000,10.0.0.2,10.0.0.1,34162,80,0x0010,66
14.556326000,10.0.0.2,10.0.0.1,34162,80,0x0011,66
14.565194000,10.0.0.1,10.0.0.2,80,34162,0x0011,66
14.565268000,10.0.0.2,10.0.0.1,34162,80,0x0010,66
